dataset, model, attack, eps, defense, date, acc
fmnist, F, mim, 0.1, defense_gan, 2021-11-14 13:19, 0.7174874371859297
fmnist, E, mim, 0.1, defense_gan, 2021-11-14 13:19, 0.697286432160804
fmnist, A, mim, 0.05, defense_gan, 2021-11-14 13:18, 0.7754773869346734
fmnist, B, mim, 0.05, defense_gan, 2021-11-14 13:19, 0.6698492462311558
fmnist, E, mim, 0.2, defense_gan, 2021-11-14 13:19, 0.5233165829145728
fmnist, F, mim, 0.2, defense_gan, 2021-11-14 13:19, 0.5819095477386935
fmnist, A, mim, 0.1, defense_gan, 2021-11-14 13:18, 0.7018090452261306
fmnist, E, mim, 0.3, defense_gan, 2021-11-14 13:19, 0.3437185929648241
fmnist, B, mim, 0.1, defense_gan, 2021-11-14 13:19, 0.648643216080402
fmnist, F, mim, 0.3, defense_gan, 2021-11-14 13:19, 0.444321608040201
fmnist, A, mim, 0.2, defense_gan, 2021-11-14 13:18, 0.54
fmnist, E, bim, 0.05, defense_gan, 2021-11-14 13:19, 0.7747738693467336
fmnist, B, mim, 0.2, defense_gan, 2021-11-14 13:19, 0.5310552763819095
fmnist, F, bim, 0.05, defense_gan, 2021-11-14 13:19, 0.7837185929648242
fmnist, A, mim, 0.3, defense_gan, 2021-11-14 13:18, 0.3463316582914573
fmnist, E, bim, 0.1, defense_gan, 2021-11-14 13:19, 0.7150753768844221
fmnist, B, mim, 0.3, defense_gan, 2021-11-14 13:19, 0.33386934673366836
fmnist, F, bim, 0.1, defense_gan, 2021-11-14 13:19, 0.7323618090452261
fmnist, A, bim, 0.05, defense_gan, 2021-11-14 13:18, 0.7707537688442211
fmnist, E, bim, 0.2, defense_gan, 2021-11-14 13:19, 0.5793969849246231
fmnist, F, bim, 0.2, defense_gan, 2021-11-14 13:19, 0.6210050251256282
fmnist, B, bim, 0.05, defense_gan, 2021-11-14 13:19, 0.6678391959798995
fmnist, A, bim, 0.1, defense_gan, 2021-11-14 13:18, 0.7246231155778895
fmnist, E, bim, 0.3, defense_gan, 2021-11-14 13:19, 0.41738693467336685
